Page,Name,Caption,Picture
MDIT,Air Quality Monitoring Dashboard,PowerBI dashboard and report for MDIT datathon,MDIT/MDIT.PNG
PRS,Statistical Analysis of Polygenic Risk Scores,Perform analysis with R for a summer research project,PRS/PRS.PNG
